date,sunrise,sunset,daylength,daylength_diff,astro_twilight_start,astro_twilight_end,nautical_twilight_start,nautical_twilight_end,civil_twilight_start,civil_twilight_end,solar_noon_time,solar_noon_dist,temp_c_max,temp_c_min,grass_temp_c_min,earth_temp_c,sun_hours,rain_mm,wind_direction,wind_mean_mph,wind_max_mph,cloud_cover,pressure_mb_mean,humid_mean,temp_c_mean,fog_vis_1000,fog_vis_200,snow,snow_lying,hail,thunder,date.1,snow_mm
2011-12-01,07:43,15:55,08:11:59,-2:05,05:41:00,17:56:00,06:22:00,17:16:00,07:04:00,16:34:00,11:49,147.52,9.5,8.6,7.4,8.3,1.5,0.1,W,6.1,32,8,1006,84.1,8.6,0,0,0,0,0,0,1,
2011-12-02,07:44,15:54,08:09:58,-2:00,05:42:00,17:56:00,06:23:00,17:16:00,07:05:00,16:33:00,11:49,147.495,10.5,2.3,-1,8,4.7,2.1,SW,8.3,34,0,1010.6,86.2,4.9,0,0,0,0,0,0,2,
2011-12-03,07:45,15:54,08:08:02,-1:55,05:44:00,17:55:00,06:24:00,17:15:00,07:06:00,16:33:00,11:50,147.471,10.8,6.8,5.6,7.7,6.2,0,W,11.8,35,3,1001.6,80.9,8.8,0,0,0,0,0,0,3,
2011-12-04,07:47,15:53,08:06:12,-1:50,05:45:00,17:55:00,06:25:00,17:15:00,07:08:00,16:32:00,11:50,147.448,8.1,6,4.2,7.5,0.4,0.7,SW,9.9,33,8,999.5,81,6.2,0,0,0,0,0,0,4,
2011-12-05,07:48,15:53,08:04:27,-1:45,05:46:00,17:55:00,06:26:00,17:15:00,07:09:00,16:32:00,11:51,147.425,6,1.5,-0.9,6.8,3.6,0,SW,11.5,29,0,1004.1,81,3.2,0,0,0,0,0,0,5,
2011-12-06,07:49,15:52,08:02:47,-1:39,05:47:00,17:55:00,06:27:00,17:14:00,07:10:00,16:32:00,11:51,147.403,8,2.1,0.2,6,4.3,1.7,W,11,26,1,1005.3,83.6,4,0,0,0,0,0,0,6,
2011-12-07,07:51,15:52,08:01:12,-1:34,05:48:00,17:55:00,06:28:00,17:14:00,07:11:00,16:31:00,11:51,147.382,8.6,4,2.5,6,5,0.1,W,14.8,40,0,1006.7,75.2,5.9,0,0,0,0,0,0,7,
2011-12-08,07:52,15:52,07:59:44,-1:28,05:49:00,17:54:00,06:29:00,17:14:00,07:12:00,16:31:00,11:52,147.361,12.3,3.6,1.3,5.7,0.2,4.7,S,15.2,43,8,1007.9,83.2,7.7,0,0,0,0,0,0,8,
2011-12-09,07:53,15:51,07:58:21,-1:22,05:50:00,17:54:00,06:30:00,17:14:00,07:13:00,16:31:00,11:52,147.342,6.8,2.5,0.7,6.2,5.3,0.2,SW,11.3,30,0,1008.8,77.7,3.7,0,0,0,0,0,0,9,
2011-12-10,07:54,15:51,07:57:04,-1:17,05:51:00,17:54:00,06:31:00,17:14:00,07:14:00,16:31:00,11:53,147.323,5.5,0.5,-1.9,5.2,6.3,0,SW,8.3,19,1,1014.1,82.7,2.3,0,0,0,0,0,0,10,
